Herb_id,Chinese_name,Pinyin_name,Latin_name,English_name,Properties_Chinese,Properties_English,Meridians_Chinese,Meridians_English,Function_Chinese,Function_English,UsePart,TCMID_id,TCM-ID_id,TCMSP_id,Link_herb_id,Alias,HERBDB_ID,Suppress
103,地骨皮,Digupi,"Cortex Lycii Radicis,Lycii Cortex",root - bark of Chinese Wolfberry,"甘,寒","Sweet,Cold","肺,肝,肾","Lung,Liver,Kidney",清虚热药,Asthenic Heat Dispelling Drugs,,6938,212,103,,,HERB001249,0
104,地锦草,Dijincao,"Euphorbiae Humifusae Herba,Herba Euphorbiae Humifusae",all - grass of Humifuse Euphorbia,"辛,平","Pungent,Calm","肝,大肠","Liver,Large Intestine",清热解毒药,Antipyretic Detoxicate Drugs,whole herb,1958,213,104,,,HERB001254,0
105,地榆,Diyu,"Sanguisorbae Radix,Radix Sanguisorbae",Root of Garden Burnet,"苦,酸,涩,微寒","Bitter,Sour,Astringent,Slightly Cold","肝,大肠","Liver,Large Intestine",凉血止血药,Blood-Cooling Hemostatic Medicinal,root,5121,216,105,,,HERB001271,0
106,丁公藤,Dinggongteng,"Caulis Erycibes,Erycibes Caulis",Stem of Taiwan Erycibe,"辛,温,有小毒","Pungent,Warm,Slightly Toxic","肝,脾,胃","Liver,Spleen,Stomach",祛风湿散寒药,Wind-Dampnessdispelling And Colddispersing Medicinal,rattan,3352,219,106,,,HERB001305,0
107,丁香,Dingxiang,"Flos Caryophylli,Caryophylli Flos",Clove,"辛,温","Pungent,Warm","脾,胃,肺,肾","Spleen,Stomach,Lung,Kidney",温里药,Warming Interior Drugs,flower bud,8046,220,107,,,HERB001309,0
108,冬虫夏草,Dongchongxiacao,Cordyceps,Chinese Caterpillar Fungus,"甘,平","Sweet,Calm","肺,肾","Lung,Kidney",补阳药,Yang Reinforcing Drugs,a drug consisting of dried fungal stroma growing on larva of a caterpillar,4777,223,108,,,HERB001333,0
109,冬瓜皮,Dongguapi,"Exocarpium Benincasae,Benincasae Exocarpium",Chinese Waxgourd Peel,"甘,凉","Sweet,Cool","脾,小肠","Spleen,Small Intestine",利水渗湿药,Diuretic Dampness Excreting Drugs,exocarp,5149,922,109,,,HERB001355,0
110,冬瓜子,Dongguazi,,Benincasae Semen,"甘,微寒","Sweet,Slightly Cold","肺,大肠","Lung,Large Intestine",化痰药,Phlegresolving Medicine,,,,110,,,HERB001357,0
111,冬葵果,Dongkuiguo,"Fructus Malvae,Malvae Fructus",Cluster Mallow Fruit,"甘,涩,凉","Sweet,Astringent,Cool",,,拔毒化腐生肌药,"External Medicinal (Draw Out Toxin, Resolve Putridity)",,7561,923,111,,,HERB001360,0
112,豆蔻,Doukou,"Fructus Amomi Rotundus,Amomi Fructus Rotundus",Round Cardamon Fruit,"辛,温","Pungent,Warm","肺,脾,胃","Lung,Spleen,Stomach",化湿药,Dampness Removing Drugs,,5178,925,112,,,HERB001378,0
113,独活,Duhuo,"Radix Angelicae Pubescentis,Angelicae Pubescentis Radix",Doubleteeth Pubescent Angelica Root,"辛,苦,微温","Pungent,Bitter,Slightly Warm","肾,膀胱","Kidney,Bladder",祛风湿散寒药,Wind-Dampnessdispelling And Colddispersing Medicinal,root,8180,151,113,,,HERB001394,0
114,杜仲,Duzhong,"Cortex Eucommiae,Eucommiae Cortex",Eucommia bark,"甘,温","Sweet,Warm","肝,肾","Liver,Kidney",补阳药,Yang Reinforcing Drugs,bark,5411,153,114,,,HERB001409,0
115,杜仲叶,Duzhongye,Eucommiae Folium,Eucommiae Folium,"微辛,温","Slightly Pungent,Warm","肝,肾","Liver,Kidney",拔毒化腐生肌药,"External Medicinal (Draw Out Toxin, Resolve Putridity)",leaf,1852,,115,,,HERB001410,0
116,断血流,Duanxueliu,"Herba Clinopodii,Clinopodii Herba",Clinopodium Herb,"微苦,涩,凉","Slightly Bitter,Astringent,Cool",肝,Liver,凉血止血药,Blood-Cooling Hemostatic Medicinal,,3378,927,116,,,HERB001448,0
117,莪术,Ezhu,"Curcumae Rhizoma,Rhizoma Curcumae",Zedoray Rhizome,"辛,苦,温","Pungent,Bitter,Warm","肝,脾","Liver,Spleen",活血祛瘀药,Blood Activating Stasis Removing Drugs,,1749,234,117,,,HERB001579,0
118,鹅不食草,Ebushicao,"Herba Centipedae,Centipedae Herba",Small Centipeda Herb,"辛,温","Pungent,Warm",肺,Lung,辛温解表药,Pungent-Warm Exterior-Releasing Medicinal,herb with flower,1133,928,118,,,HERB001556,0
119,儿茶,Ercha,Catechu,"Cutch, Black Catechu","苦,涩,微寒","Bitter,Astringent,Slightly Cold","肺,心","Lung,Heart",活血祛瘀药,Blood Activating Stasis Removing Drugs,,4068,237,119,,,HERB001583,0
120,番泻叶,Fanxieye,"Sennae Folium,Folium Sene",Sen leaf,"甘,苦,寒","Sweet,Bitter,Cold",大肠,Large Intestine,攻下药,Offensive Purgative Medicinal,leaf,5236,930,120,,,HERB001621,0
121,翻白草,Fanbaicao,"Herba Potentillae Discoloris,Potentillae Discoloris Herba",all-grass of discolor cinquefoil,"甘,微苦,平","Sweet,Slightly Bitter,Calm","肝,胃,大肠","Liver,Stomach,Large Intestine",清热解毒药,Antipyretic Detoxicate Drugs,whole herb with root,5573,929,121,,,HERB001610,0
122,防风,Fangfeng,"Radix Saposhnikoviae Divaricatae,Saposhnikoviae Radix",root of Divaricate Saposhnikovia,"辛,甘,微温","Pungent,Sweet,Slightly Warm","膀胱,肝,脾","Bladder,Liver,Spleen",辛温解表药,Pungent-Warm Exterior-Releasing Medicinal,root,2393,239,122,,,HERB001622,0
123,防己,Fangji,"Stephaniae Tetrandrae Radix,Radix Stephaniae Tetrandrae",Root of Fourstamen Stephania,"苦,寒","Bitter,Cold","膀胱,肺","Bladder,Lung",祛风湿清热药,Wind-Dampnessdispelling And Heatclearing Medicinal,root,7240,241,123,,,HERB001626,0
124,粉萆薢,Fenbixie,Dioscoreae Hypoglaucae Rhizoma,Dioscoreae Hypoglaucae Rhizoma,,"Bitter,Calm","肾,胃","Kidney,Stomach",利水渗湿药,Diuretic Dampness Excreting Drugs,,7438,,124,,萆解,HERB001679,0
125,凤尾草,Fengweicao,Herba Pteridis Multifidae,all - grass of Chinese Brake,"甘,微苦,微温","Sweet,Slightly Bitter,Slightly Warm","大肠,胃,肝,肾","Large Intestine,Stomach,Liver,Kidney",清热解毒药,Antipyretic Detoxicate Drugs,whole herb or rhizome,1904,245,125,,,HERB001713,0
126,凤仙透骨草,Fengxiantougucao,Herba Speranskiae Tuberculatae,all-grass of Tubercultae speranskia,"苦,辛,温,有小毒","Bitter,Pungent,Warm,Slightly Toxic",,,祛风湿散寒药,Wind-Dampnessdispelling And Colddispersing Medicinal,,2500,246,126,,,HERB001719,0
127,凤眼草,Fengyancao,,Ailanthi Altissimae Fructus,"苦,涩,凉","Bitter,Astringent,Cool",,,清热解毒药,Antipyretic Detoxicate Drugs,,,,127,,,HERB001729,0
128,佛手,Foshou,"Fructus Citri Sarcodactylis,Citri Sarcodactylis Fructus",Finger Citron,"辛,苦,酸,温","Pungent,Bitter,Sour,Warm","肝,脾,胃,肺","Liver,Spleen,Stomach,Lung",理气药,Qi Regulating Drugs,fruit,7001,249,128,,,HERB001734,0
129,茯苓,Fuling,Poria,Indian Bread,"甘,淡,平","Sweet,Tasteless,Calm","心,肺,脾,肾","Heart,Lung,Spleen,Kidney",利水渗湿药,Diuretic Dampness Excreting Drugs,sclerotium,1948,250,129,,,HERB001749,0
130,浮萍,Fuping,"Spirodelae Herba,Herba Spirodelae",all-grass of Common Ducksmeat,"辛,寒","Pungent,Cold",肺,Lung,辛凉解表药,Pungent Cool Diaphoretics,whole herb,5369,254,130,,,HERB001758,0
131,附子,Fuzi,"Aconiti Lateralis Radix Praeparata,Radix Aconiti Lateralis",Common Monkshood Daughter Root,"辛,甘,大热,有毒","Pungent,Sweet,Big Hot,Toxic","心,肾,脾","Heart,Kidney,Spleen",温里药,Warming Interior Drugs,daughter root,1459,257,131,,,HERB001776,0
132,覆盆子,Fupenzi,Rubi Fructus,Rubi Fructus,"甘,酸,温","Sweet,Sour,Warm","肝,肾,膀胱","Liver,Kidney,Bladder",收涩药,Astringent Medicinal,,,,132,,,HERB001754,0
133,甘草,Gancao,"Glycyrrhizae Radix Et Rhizoma,Radix Glycyrrhizae",Root of Ural Licorice,"甘,平","Sweet,Calm","心,肺,脾,胃","Heart,Lung,Spleen,Stomach",补气药,Qi Reinforcing Drugs,root and rhizome,5209,258,133,,,HERB001779,0
134,甘松,Gansong,"Nardostachyos Radix Et Rhizoma,Radix Seu Rhizoma Rdostachyos",rdostachys Root,"辛,甘,温","Pungent,Sweet,Warm","脾,胃","Spleen,Stomach",理气药,Qi Regulating Drugs,root and rhizome,5162,265,134,,,HERB001801,0
135,甘遂,Gansui,"Radix Kansui,Kansui Radix",root of Gansui,"苦,寒,有毒","Bitter,Cold,Toxic","肺,肾,大肠","Lung,Kidney,Large Intestine",通水药,Drastic Purgatives,tuberoid,3726,266,135,,,HERB001806,0
136,干姜,Ganjiang,"Zingiberis Rhizoma,Rhizoma Zingiberis",Dried Ginger,"辛,热","Pungent,Hot","脾,胃,肾,心,肺","Spleen,Stomach,Kidney,Heart,Lung",温里药,Warming Interior Drugs,dried rhizome,2421,260,136,,,HERB001787,0
137,高良姜,Gaoliangjiang,Alpiniae Officinarum Rhizoma,Alpiniae Officirum Rhizome,"辛,热","Pungent,Hot","脾,胃","Spleen,Stomach",温里药,Warming Interior Drugs,,,,137,,,HERB001852,0
138,藁本,Gaoben,Ligustici Rhizoma Et Radix,Ligustici Rhizoma Et Radix,"辛,温","Pungent,Warm",膀胱,Bladder,辛温解表药,Pungent-Warm Exterior-Releasing Medicinal,,,,138,,,HERB001821,0
139,葛花,Gehua,Flos Puerariae Lobatae,flower bud of lobed kudzuvine,"甘,凉","Sweet,Cool","脾,胃","Spleen,Stomach",辛凉解表药,Pungent Cool Diaphoretics,,1769,272,139,,,HERB001876,0
140,功劳木,Gonglaomu,"Mahoniae Caulis,Caulis Mahoniae",Stem of Leatherleaf Mahonia,"苦,寒","Bitter,Cold","肝,胃,大肠","Liver,Stomach,Large Intestine",清热解毒药,Antipyretic Detoxicate Drugs,,4249,275,140,,,HERB001896,0
141,钩藤,Gouteng,"Ramulus Uncariae Cum Uncis,Uncariae Ramulus Cumuncis",Gambir Plant,"甘,凉","Sweet,Cool","肝,心包","Liver,Pericardium",平肝熄风药,Liver-Pacifying Wind-Extinguishing Medicinal,hooked stem-branch,5452,279,141,,,HERB001924,0
142,枸骨叶,Gouguye,Ilicis Cornutae Folium,Folium Ilicis Cornutae,"苦,凉","Bitter,Cool","肝,肾","Liver,Kidney",清虚热药,Asthenic Heat Dispelling Drugs,,,,142,,,HERB001901,0
143,枸杞子,Gouqizi,"Lycii Fructus,Fructus Lycii",fruit of Chinese Wolfberry,"甘,平","Sweet,Calm","肝,肾","Liver,Kidney",补阴药,Yin-Tonifying Medicinal,fruit,5454,277,143,,,HERB001915,0
144,谷精草,Gujingcao,"Flos Eriocauli,Eriocauli Flos",Pipewort Flower,"辛,甘,平","Pungent,Sweet,Calm","肝,肺","Liver,Lung",清热泻火药,Fire Purging Drugs,flower head with peduncle,2461,281,144,,,HERB001938,0
145,骨碎补,Gusuibu,"Drynariae Rhizoma,Rhizoma Dryriae",rhizome of Heartleaf Dryria,"苦,温","Bitter,Warm","肝,肾","Liver,Kidney",补阳药,Yang Reinforcing Drugs,rhizome,7096,282,145,,,HERB001942,0
146,瓜蒂,Guadi,Calycis Melo,Muskmelon base,"苦,寒,有毒","Bitter,Cold,Toxic",胃,Stomach,涌吐药,Emetic Medicinal,fruit pedicel,7420,284,146,,,HERB001948,0
147,瓜蒌,Gualou,Trichosanthis Fructus,Trichosanthes Kirilowii Maxim,"甘,微苦,寒","Sweet,Slightly Bitter,Cold","肺,胃,大肠","Lung,Stomach,Large Intestine",化痰药,Phlegresolving Medicine,,,,147,,,HERB001952,0
148,关黄柏,Guanhuangbo,Phellodendri Amurensis Cortex,Phellodendri Amurensis Cortex,"苦,寒","Bitter,Cold","肾,膀胱","Kidney,Bladder",清热燥湿药,Heat-Clearing And Dampnessdrying Medicinal,,,,148,,,HERB001969,0
149,贯叶金丝桃,Guanyejinsitao ,Hyperici Perforati Herba,Herbahypericiperforati,"辛,寒","Pungent,Cold",肝,Liver,收敛止血药,Astringent Hemostatic Medicinal,,,,149,,,HERB001981|HERB005615,0
150,绵马贯众,Mianmaguanzhong,"Rhizoma Dryopteris Crassirhizomae,Dryopteridis Crassirhizomatis Rhizoma",root of Chinese Angelica,"苦,微寒,有小毒","Bitter,Slightly Cold,Slightly Toxic","肝,胃","Liver,Stomach",清热解毒药,Antipyretic Detoxicate Drugs,,2988,288,150,,,HERB003961,0
151,广藿香,Guanghuoxiang,Pogostemonis Herba,Pogostemon Cablin (Blanco) Benth.,"辛,微温","Pungent,Slightly Warm","脾,胃,肺","Spleen,Stomach,Lung",化湿药,Dampness Removing Drugs,,,,151,,,HERB002002,0
152,广枣,Guangzao,"Choerospondiatis Fructus,Fructus Choerospondiatis",fruit of Axillary choerospondias,"甘,酸,平","Sweet,Sour,Calm","脾,肝","Spleen,Liver",活血祛瘀药,Blood Activating Stasis Removing Drugs,,2436,296,152,,,HERB002040,0
153,鬼箭羽,Guijianyu,Ramulus Euonymi,twig of Winged Euonymus,"苦,辛,寒","Bitter,Pungent,Cold","肝,脾","Liver,Spleen",活血祛瘀药,Blood Activating Stasis Removing Drugs,,6292,300,153,,,HERB002052|HERB002053,0
154,鬼针草,Guizhencao,Herba Bidentis,all-grass of Spanishneedles,"苦,微寒","Bitter,Slightly Cold",,,清热解毒药,Antipyretic Detoxicate Drugs,whole herb,3401,944,154,,,HERB002061,0
155,桂枝,Guizi,"Cinnamomi Ramulus,Ramulus Cinmomi",Cassia Twig,"辛,甘,温","Pungent,Sweet,Warm","心,肺,膀胱","Heart,Lung,Bladder",辛温解表药,Pungent-Warm Exterior-Releasing Medicinal,twig,8053,303,155,,,HERB002062,0
156,海风藤,Haifengteng,"Piperis Kadsurae Caulis,Caulis Piperis Kadsurae；Caulis Piperis Futokadsurae",stem of Kadsura Pepper,"辛,苦,微温","Pungent,Bitter,Slightly Warm",肝,Liver,祛风湿散寒药,Wind-Dampnessdispelling And Colddispersing Medicinal,stem,5134,305,156,,,HERB000613|HERB002087,0
157,海金沙,Haijinsha,"Spora Lygodii,Lygodii Spora",spore of Japanese climbing Fern,"甘,咸,寒","Sweet,Salty,Cold","膀胱,小肠","Bladder,Small Intestine",利水渗湿药,Diuretic Dampness Excreting Drugs,aerial parts,7556,308,157,,,HERB002094,0
158,海桐皮,Haitongpi,Cortex Erythrie,bark of Oriental Variegated Coralbean,"苦,辛,平","Bitter,Pungent,Calm","肝,脾","Liver,Spleen",祛风湿清热药,Wind-Dampnessdispelling And Heatclearing Medicinal,bark,4536,313,158,,,HERB002119,0
159,海藻,Haizao,Sargassum,seaweed,"苦,咸,寒","Bitter,Salty,Cold","肝,胃,肾","Liver,Stomach,Kidney",化痰药,Phlegresolving Medicine,,3140,314,159,,,HERB002126,0
160,诃子,Hezi,"Chebulae Fructus,Fructus Chebulae",Medicine Termilia Fruit,"苦,酸,涩,平","Bitter,Sour,Astringent,Calm","肺,大肠","Lung,Large Intestine",收涩药,Astringent Medicinal,fruit,2010,327,160,,,HERB002194,0
161,荷叶,Heye,"Folium Nelumbinis,Nelumbinis Folium",Lotus leaf,"苦,平","Bitter,Calm","肝,脾,胃","Liver,Spleen,Stomach",清热解毒药,Antipyretic Detoxicate Drugs,leaf,6972,326,161,,,HERB002191,0
162,核桃仁,Hetaoren,"Semen Juglandis,Juglandis Semen",English Walnut Seed,"甘,温","Sweet,Warm","肾,肺,大肠","Kidney,Lung,Large Intestine",补阳药,Yang Reinforcing Drugs,,1450,962,162,,,HERB002189,0
163,鹤虱,Heshi,"Carpesii Fructus,Fructus Carpesii",Common Carpesium Fruit,"苦,辛,平,有小毒","Bitter,Pungent,Calm,Slightly Toxic","脾,胃","Spleen,Stomach",驱虫药,Antiparasitic Drugs,,3267,961,163,,,HERB002182,0
164,黑豆,Heidou,"Semen Glycine Max,Sojae Semen Nigrum",Black bean,"甘,平","Sweet,Calm","脾,肾","Spleen,Kidney",补阴药,Yin-Tonifying Medicinal,,6627,331,164,,,HERB002209,0
165,黑老虎,Heilaohu,,Kadsurae Coccineae Radix Et Caulis,"辛,微苦,温","Pungent,Slightly Bitter,Warm",,,理气药,Qi Regulating Drugs,,,,165,,,HERB002224,0
166,黑芝麻,Heizhima,"Sesami Semen Nigrum,Semen Sesami Nigrum",Black Sesame,"甘,平","Sweet,Calm","肝,肾,大肠","Liver,Kidney,Large Intestine",补阴药,Yin-Tonifying Medicinal,black seed,5346,336,166,,,HERB002242,0
167,红参,Hongshen,"Radix Ginseng Rubra,Ginseng Radix Et Rhizoma Rubra",Red Ginseng,"甘,微苦,温","Sweet,Slightly Bitter,Warm","脾,肺,心,肾","Spleen,Lung,Heart,Kidney",补气药,Qi Reinforcing Drugs,,2187,157,167,,,HERB002319,0
168,红花,Honghua,"Flos Carthami,Carthami Flos",Safflower,"辛,温","Pungent,Warm","心,肝","Heart,Liver",活血祛瘀药,Blood Activating Stasis Removing Drugs,flower,3918,343,168,,,HERB002276,0
169,红芪,Hongqi,Hedysari Radix,Hedysari Radix,"甘,微温","Sweet,Slightly Warm","肺,脾","Lung,Spleen",补气药,Qi Reinforcing Drugs,,2164,,169,,,HERB002309,0
170,猴枣,Houzao,,Macacae Calcalus Gasteris,"苦,寒,无毒","Bitter,Cold,Nontoxic",,,化痰药,Phlegresolving Medicine,,,,170,,,HERB002351,0
171,厚朴,Houpo,"Cortex Magnoliae Officilis,Magnoliae Officinalis Cortex",bark of Officil magnolia,"苦,辛,温","Bitter,Pungent,Warm","脾,胃,肺,大肠","Spleen,Stomach,Lung,Large Intestine",化湿药,Dampness Removing Drugs,,6793,159,171,,,HERB002339|HERB002342,0
172,胡黄连,Huhuangl1an,Picrorhizae Rhizoma,Picrorhizae Rhizoma,"苦,寒","Bitter,Cold","肝,胃,大肠","Liver,Stomach,Large Intestine",清虚热药,Asthenic Heat Dispelling Drugs,,,,172,,,HERB002369,0
173,胡椒,Hujiao,"Fructus Piperis,Piperis Fructus",Pepper Fruit,"辛,热","Pungent,Hot","胃,大肠","Stomach,Large Intestine",温里药,Warming Interior Drugs,fruit,3758,348,173,,,HERB002371,0
174,胡芦巴,Huluba,Trigonellae Semen,Trigonellae Semen,"苦,温","Bitter,Warm",肾,Kidney,补阳药,Yang Reinforcing Drugs,,,,174,,,HERB002376,0
175,槲寄生,Hujisheng,"Herba Visci,Visci Herba",Colored Mistletoe Herb,"苦,平","Bitter,Calm","肝,肾","Liver,Kidney",祛风湿筋骨药,Wind-Damp-Dispelling And Sinew-Bone-Strengthening Medicinal,stem and branch-leaf,6843,347,175,,,HERB002370,0
176,虎耳草,Huercao,Herba Saxifragae,stem or leaf of Fung Waxplant,"苦,辛,寒,小毒","Bitter,Pungent,Cold,Slightly Toxic","肺,肝,心","Lung,Liver,Heart",清热解毒药,Antipyretic Detoxicate Drugs,whole herb,1552,344,176,,,HERB002365,0
177,虎杖,Huzhang,"Rhizoma Polygoni Cuspidati,Polygoni Cuspidati Rhizoma Et Radix",rhizome of Gaint Knotweed,"微苦,微寒","Slightly Bitter,Slightly Cold","肝,胆,肺","Liver,Gallbladder,Lung",利水渗湿药,Diuretic Dampness Excreting Drugs,rhizome,7541,352,177,,,HERB002405,0
178,花椒,Huajiao,"Zanthoxyli Pericarpium,Pericarpium Zanthoxyli",Pricklyash Peel,"辛,温","Pungent,Warm","脾,胃,肾","Spleen,Stomach,Kidney",温里药,Warming Interior Drugs,pericarp,6620,354,178,,,HERB002424,0
179,花生衣,Huashengyi,Testa Arachidis Hypogaeae,Semino-dermis Arachidis ,"甘,微苦,涩,平","Sweet,Slightly Bitter,Astringent,Calm","肺,胃,肝","Lung,Stomach,Liver",收敛止血药,Astringent Hemostatic Medicinal,,5693,357,179,,,HERB002448,0
180,华山参,Huashanshen,Physochlainae Radix,Physochlaie Radix,"甘,微苦,温,有毒","Sweet,Slightly Bitter,Warm,Toxic","肺,心","Lung,Heart",止咳平喘药,Antitussive Antiasthmetics,,4165,,180,,,HERB002446,0
181,化橘红,Huajuhong,"Exocarpium Citri Grandis,Citri Grandis Exocarpium",Pummelo Peel,"辛,苦,温","Pungent,Bitter,Warm","肺,脾","Lung,Spleen",理气药,Qi Regulating Drugs,,4831,355,181,,,HERB002428,0
182,槐花,Huaihua,"Sophorae Flos,Flos Sophorae",flower bud of Japanese pagodatree,"苦,微寒","Bitter,Slightly Cold","肝,大肠","Liver,Large Intestine",凉血止血药,Blood-Cooling Hemostatic Medicinal,,6828,359,182,,,HERB002472,0
183,槐角,Huaijiao,"Fructus Sophorae,Sophorae Fructus",pod of Japanese pagodatree,"苦,寒","Bitter,Cold","肝,大肠","Liver,Large Intestine",凉血止血药,Blood-Cooling Hemostatic Medicinal,,7907,360,183,,,HERB002473,0
184,黄柏,Huangbo,"Phellodendri Chinensis Cortex,Cortex Phellodendri",Phellodendron bark,"苦,寒","Bitter,Cold","肾,膀胱","Kidney,Bladder",清热燥湿药,Heat-Clearing And Dampnessdrying Medicinal,bark,2250,973,184,,,HERB002483|HERB002489,0
185,黄精,Huangjing,"Polygonati Rhizoma,Rhizoma Polygoti",Rhizome of Fragrant Solomonseal,"甘,平","Sweet,Calm","脾,肺,肾","Spleen,Lung,Kidney",补阴药,Yin-Tonifying Medicinal,rhizome,5428,367,185,,,HERB002534,0
186,黄连,Huanglian,"Rhizoma Coptidis,Coptidis Rhizoma",rhizome of Chinese Goldthread,"苦,寒","Bitter,Cold","心,脾,胃,肝,胆,大肠","Heart,Spleen,Stomach,Liver,Gallbladder,Large Intestine",清热燥湿药,Heat-Clearing And Dampnessdrying Medicinal,rhizome,5091,369,186,,,HERB002540,0
187,黄芪,Huangqi,"Astragali Radix,Radix Astragali",root of Membranous Milkvetch,"甘,微温","Sweet,Slightly Warm","肺,脾","Lung,Spleen",补气药,Qi Reinforcing Drugs,root,5663,370,187,,,HERB002560,0
188,黄芩,Huangqin,"Scutellariae Radix,Radix Scutellariae",root of Baikal skullcap,"苦,寒","Bitter,Cold","肺,胆,脾,大肠,小肠","Lung,Gallbladder,Spleen,Large Intestine,Small Intestine",清热燥湿药,Heat-Clearing And Dampnessdrying Medicinal,root,4677,371,188,,,HERB002563,0
189,黄药子,Huangyaozi,Rhizoma Dioscoreae Bulbiferae,rhizome of Airpotato Yam,"苦,寒,小毒","Bitter,Cold,Slightly Toxic","肺,肝","Lung,Liver",化痰药,Phlegresolving Medicine,tuber,7104,373,189,,,HERB002591,0
190,火麻仁,Huomaren,"Cannabis Fructus,Semen Canbis;Fructus Canbis",Hemp Seed,"甘,平","Sweet,Calm","脾,胃,大肠","Spleen,Stomach,Large Intestine",润下药,Laxatives,ripe seed,5703,975,190,,,HERB002640,0
191,鸡骨草,Jigucao,"Abri Herba,Herba Abri",Canton Love-pea Vine,"甘,微苦,凉","Sweet,Slightly Bitter,Cool","肝,胃","Liver,Stomach",利水渗湿药,Diuretic Dampness Excreting Drugs,whole herb,1889,378,191,,,HERB002665,0
192,鸡冠花,Jiguanhua,"Flos Celosiae Cristatae,Celosiae Cristatae Flos",Cockscomb flower ,"甘,涩,凉","Sweet,Astringent,Cool","肝,大肠","Liver,Large Intestine",收敛止血药,Astringent Hemostatic Medicinal,inflorescence,3584,379,192,,,HERB002667,0
193,鸡屎藤,Jishiteng,,Paederiae Scandentis Herba,"甘,微苦,平","Sweet,Slightly Bitter,Calm",,,消食药,Digestants,,,,193,,,,0
194,鸡血藤,Jixueteng,"Spatholobi Caulis,Caulis Millettiae; Caulis Spatholobi",Suberect Spatholobus Stem,"苦,甘,温","Bitter,Sweet,Warm","肝,肾","Liver,Kidney",活血祛瘀药,Blood Activating Stasis Removing Drugs,,5951,384,194,,,HERB002714,0
195,积雪草,Jixuecao,"Herba Centellae,Centellae Herba",Asiatic Pennywort Herb,"苦,辛,寒","Bitter,Pungent,Cold","肝,脾,肾","Liver,Spleen,Kidney",清热解毒药,Antipyretic Detoxicate Drugs,whole herb with root,7372,383,195,,,HERB002713,0
196,急性子,Jixingzi,"Impatientis Semen,Semen Impatientis",seed of Garden Balsam,"微苦,辛,温,有小毒","Slightly Bitter,Pungent,Warm,Slightly Toxic","肺,肝","Lung,Liver",活血祛瘀药,Blood Activating Stasis Removing Drugs,ripe seed,5087,382,196,,,HERB002711,0
197,蒺藜,jili,"Tribuli Fructus,Fructus Tribuli",Puncturevine Caltrop Fruit,"辛,苦,微温,有小毒","Pungent,Bitter,Slightly Warm,Slightly Toxic",肝,Liver,平肝熄风药,Liver-Pacifying Wind-Extinguishing Medicinal,,1208,977,197,,,HERB002679,0
198,姜黄,Jianghuang,"Rhizoma Curcumae Longae,Curcumae Longae Rhizoma",rhizome of Common Turmeric,"辛,苦,温","Pungent,Bitter,Warm","脾,肝","Spleen,Liver",活血祛瘀药,Blood Activating Stasis Removing Drugs,tuberoid,5487,389,198,,,HERB002840,0
199,降香,Jiangxiang,"Lignum Dalbergiae Odoriferae Rosewood,Dalbergiae Odoriferae Lignum",Odoriferous Rosewood,"辛,温","Pungent,Warm","肝,脾","Liver,Spleen",理气药,Qi Regulating Drugs,,5690,391,199,,,HERB002846,0
200,绞股蓝,Jiaoguolan,,Gynostemmae Pentaphylli Herba,"苦,微甘,凉","Bitter,Slightly Sweet,Cool","肺,脾,肾","Lung,Spleen,Kidney",补气药,Qi Reinforcing Drugs,,,,200,,,HERB000459|HERB002856,0
201,芥子,Jiezi,"Semen Sipis,Sinapis Semen",Mustard Seed,"辛,温","Pungent,Warm",肺,Lung,化痰药,Phlegresolving Medicine,seed,3816,982,201,,,HERB002887,0
202,金沸草,Jinfeicao,"Herba Inulae,Inulae Herba",All - grass of Japanese Inula,"苦,辛,咸,温","Bitter,Pungent,Salty,Warm","肺,大肠","Lung,Large Intestine",化痰药,Phlegresolving Medicine,aerial parts,8200,401,202,,,HERB002896,0
203,金果榄,Jinguolan,Tinosporae Radix,Tinosporae Radix,"苦,寒","Bitter,Cold","肺,大肠",,清热解毒药,Antipyretic Detoxicate Drugs,,,,203,,金果揽,,0
204,金莲花,Jinlianhua,Flos Trollii Chinensis,flower of Chinese Globeflower,"苦,寒","Bitter,Cold","肺,胃","Lung,Stomach",清热解毒药,Antipyretic Detoxicate Drugs,flower,1785,404,204,,,HERB002926,0
205,金钱草,Jinqiancao,"Herba Glechomae Longitubae,Lysimachiae Herba",Christi Loosestrife,"甘,咸,微寒","Sweet,Salty,Slightly Cold","肝,胆,肾,膀胱","Liver,Gallbladder,Kidney,Bladder",利水渗湿药,Diuretic Dampness Excreting Drugs,,5151,408,205,,,HERB002937,0
206,金荞麦,Jinqiaomai,"Rhizoma Fagopyri Cymosi,Fagopyri Dibotryis Rhizoma",Wild Buckwheat Rhizome,"微辛,涩,凉","Slightly Pungent,Astringent,Cool",肺,Lung,清热解毒药,Antipyretic Detoxicate Drugs,,3474,984,206,,,HERB002941|HERB002991,0
207,金银花,Jinyinhua,"Lonicerae Japonicae Flos,Flos Lonicerae",Honeysuckle Flower,"甘,寒","Sweet,Cold","肺,心,胃","Lung,Heart,Stomach",清热解毒药,Antipyretic Detoxicate Drugs,flower bud,4008,409,207,,,HERB002962,0
208,金樱子,Jinyingzi,"Fructus Rosae Laevigatae,Rosae Laevigatae Fructus",fruit of Cherokee Rose,"酸,甘,涩,平","Sour,Sweet,Astringent,Calm","肾,膀胱,大肠","Kidney,Bladder,Large Intestine",收涩药,Astringent Medicinal,fruit,2395,411,208,,,HERB002966,0
